"zip_code","taxa_inad_temp","Risco_zip_code_BIN"
"185xx",0.235955056179775,"Risk3"
"186xx",0.236842105263158,"Risk3"
"187xx",0.284090909090909,"Risk3"
"188xx",0.3,"Risk3"
"189xx",0.162162162162162,"Risk2"
"190xx",0.182175622542595,"Risk2"
"191xx",0.198959687906372,"Risk3"
"193xx",0.161764705882353,"Risk2"
"194xx",0.19047619047619,"Risk2"
"195xx",0.171232876712329,"Risk2"
"196xx",0.251655629139073,"Risk3"
"197xx",0.183150183150183,"Risk2"
"198xx",0.222972972972973,"Risk3"
"199xx",0.189075630252101,"Risk2"
"200xx",0.111635220125786,"Risk1"
"201xx",0.159808612440192,"Risk1"
"206xx",0.17989417989418,"Risk2"
"207xx",0.203483043079743,"Risk3"
"208xx",0.14873417721519,"Risk1"
"209xx",0.16025641025641,"Risk1"
"210xx",0.168850072780204,"Risk2"
"211xx",0.167676767676768,"Risk2"
"212xx",0.20125786163522,"Risk3"
"214xx",0.111111111111111,"Risk1"
"215xx",0.254237288135593,"Risk3"
"216xx",0.214765100671141,"Risk3"
"217xx",0.210204081632653,"Risk3"
"218xx",0.161538461538462,"Risk2"
"219xx",0.144329896907217,"Risk1"
"220xx",0.147577092511013,"Risk1"
"221xx",0.170833333333333,"Risk2"
"222xx",0.128205128205128,"Risk1"
"223xx",0.174563591022444,"Risk2"
"224xx",0.199152542372881,"Risk3"
"225xx",0.160869565217391,"Risk2"
"226xx",0.194285714285714,"Risk3"
"227xx",0.235955056179775,"Risk3"
"228xx",0.214285714285714,"Risk3"
"229xx",0.193717277486911,"Risk2"
"230xx",0.16580310880829,"Risk2"
"231xx",0.21183800623053,"Risk3"
"232xx",0.170316301703163,"Risk2"
"233xx",0.204081632653061,"Risk3"
"234xx",0.21327967806841,"Risk3"
"235xx",0.222972972972973,"Risk3"
"236xx",0.223443223443223,"Risk3"
"237xx",0.333333333333333,"Risk3"
"238xx",0.258620689655172,"Risk3"
"239xx",0.211538461538462,"Risk3"
"240xx",0.14957264957265,"Risk1"
"241xx",0.220588235294118,"Risk3"
"242xx",0.311688311688312,"Risk3"
"243xx",0.235294117647059,"Risk3"
"244xx",0.178571428571429,"Risk2"
"245xx",0.237704918032787,"Risk3"
"246xx",0.216216216216216,"Risk3"
"247xx",0.2,"Risk3"
"248xx",0.125,"Risk1"
"249xx",0.205128205128205,"Risk3"
"250xx",0.0909090909090909,"Risk1"
"251xx",0.183673469387755,"Risk2"
"252xx",0.291666666666667,"Risk3"
"253xx",0.132530120481928,"Risk1"
"254xx",0.120300751879699,"Risk1"
"255xx",0.119047619047619,"Risk1"
"256xx",0.105263157894737,"Risk1"
"257xx",0.0909090909090909,"Risk1"
"258xx",0.240740740740741,"Risk3"
"259xx",0.172413793103448,"Risk2"
"260xx",0.113636363636364,"Risk1"
"261xx",0.153846153846154,"Risk1"
"262xx",0.183333333333333,"Risk2"
"263xx",0.177215189873418,"Risk2"
"264xx",0.111111111111111,"Risk1"
"265xx",0.113821138211382,"Risk1"
"266xx",0.0588235294117647,"Risk1"
"267xx",0.129032258064516,"Risk1"
"268xx",0.117647058823529,"Risk1"
"270xx",0.290909090909091,"Risk3"
"271xx",0.142857142857143,"Risk1"
"272xx",0.201149425287356,"Risk3"
"273xx",0.168674698795181,"Risk2"
"274xx",0.145539906103286,"Risk1"
"275xx",0.178690344062153,"Risk2"
"276xx",0.184713375796178,"Risk2"
"277xx",0.171428571428571,"Risk2"
"278xx",0.175298804780877,"Risk2"
"279xx",0.163265306122449,"Risk2"
"280xx",0.179841897233202,"Risk2"
"281xx",0.197333333333334,"Risk3"
"282xx",0.168421052631579,"Risk2"
"283xx",0.204198473282443,"Risk3"
"284xx",0.191919191919192,"Risk2"
"285xx",0.169741697416974,"Risk2"
"286xx",0.174917491749175,"Risk2"
"287xx",0.192156862745098,"Risk2"
"288xx",0.140845070422535,"Risk1"
"289xx",0.3125,"Risk3"
"290xx",0.167330677290837,"Risk2"
"291xx",0.188888888888889,"Risk2"
"292xx",0.14,"Risk1"
"293xx",0.114035087719298,"Risk1"
"294xx",0.144642857142857,"Risk1"
"295xx",0.17741935483871,"Risk2"
"296xx",0.139384116693679,"Risk1"
"297xx",0.135802469135802,"Risk1"
"298xx",0.163120567375887,"Risk2"
"299xx",0.151515151515152,"Risk1"
"300xx",0.159712230215827,"Risk1"
"301xx",0.154478976234004,"Risk1"
"302xx",0.170639899623588,"Risk2"
"303xx",0.160194174757282,"Risk1"
"304xx",0.130841121495327,"Risk1"
"305xx",0.112107623318386,"Risk1"
"306xx",0.130952380952381,"Risk1"
"307xx",0.225352112676056,"Risk3"
"308xx",0.177777777777778,"Risk2"
"309xx",0.136363636363636,"Risk1"
"310xx",0.161392405063291,"Risk2"
"311xx",0.444444444444444,"Risk3"
"312xx",0.21978021978022,"Risk3"
"313xx",0.131979695431472,"Risk1"
"314xx",0.246575342465753,"Risk3"
"315xx",0.164021164021164,"Risk2"
"316xx",0.192982456140351,"Risk2"
"317xx",0.186046511627907,"Risk2"
"318xx",0.0833333333333333,"Risk1"
"319xx",0.202614379084967,"Risk3"
"320xx",0.139423076923077,"Risk1"
"321xx",0.164179104477612,"Risk2"
"322xx",0.175856929955291,"Risk2"
"323xx",0.165991902834008,"Risk2"
"324xx",0.201117318435754,"Risk3"
"325xx",0.197339246119734,"Risk3"
"326xx",0.143589743589744,"Risk1"
"327xx",0.180348258706468,"Risk2"
"328xx",0.182147165259349,"Risk2"
"329xx",0.190376569037657,"Risk2"
"330xx",0.197384806973848,"Risk3"
"331xx",0.207361327112493,"Risk3"
"332xx",0.3125,"Risk3"
"333xx",0.191562143671608,"Risk2"
"334xx",0.170731707317073,"Risk2"
"335xx",0.187599364069952,"Risk2"
"336xx",0.17986798679868,"Risk2"
"337xx",0.203761755485893,"Risk3"
"338xx",0.205702647657841,"Risk3"
"339xx",0.159003831417624,"Risk1"
"341xx",0.183856502242152,"Risk2"
"342xx",0.190019193857965,"Risk2"
"344xx",0.224334600760456,"Risk3"
"346xx",0.20109689213894,"Risk3"
"347xx",0.192691029900332,"Risk2"
"349xx",0.175572519083969,"Risk2"
"350xx",0.238095238095238,"Risk3"
"351xx",0.148305084745763,"Risk1"
"352xx",0.204968944099379,"Risk3"
"353xx",1,"Risk3"
"354xx",0.219512195121951,"Risk3"
"355xx",0.246753246753247,"Risk3"
"356xx",0.164556962025316,"Risk2"
"357xx",0.201086956521739,"Risk3"
"358xx",0.246153846153846,"Risk3"
"359xx",0.280701754385965,"Risk3"
"360xx",0.239234449760766,"Risk3"
"361xx",0.243589743589744,"Risk3"
"362xx",0.222222222222222,"Risk3"
"363xx",0.217105263157895,"Risk3"
"364xx",0.18,"Risk2"
"365xx",0.241379310344828,"Risk3"
"366xx",0.183006535947712,"Risk2"
"367xx",0.1875,"Risk2"
"368xx",0.185,"Risk2"
"369xx",0.25,"Risk3"
"370xx",0.191218130311615,"Risk2"
"371xx",0.202298850574713,"Risk3"
"372xx",0.182108626198083,"Risk2"
"373xx",0.210332103321033,"Risk3"
"374xx",0.207407407407407,"Risk3"
"376xx",0.243523316062176,"Risk3"
"377xx",0.25,"Risk3"
"378xx",0.202205882352941,"Risk3"
"379xx",0.174418604651163,"Risk2"
"380xx",0.211594202898551,"Risk3"
"381xx",0.18957345971564,"Risk2"
"382xx",0.183673469387755,"Risk2"
"383xx",0.205479452054795,"Risk3"
"384xx",0.216867469879518,"Risk3"
"385xx",0.20952380952381,"Risk3"
"386xx",0.252336448598131,"Risk3"
"387xx",0.181818181818182,"Risk2"
"388xx",0.25,"Risk3"
"389xx",0.216216216216216,"Risk3"
"390xx",0.254237288135593,"Risk3"
"391xx",0.189189189189189,"Risk2"
"392xx",0.255555555555556,"Risk3"
"393xx",0.208333333333333,"Risk3"
"394xx",0.237410071942446,"Risk3"
"395xx",0.233009708737864,"Risk3"
"396xx",0.181818181818182,"Risk2"
"397xx",0.127272727272727,"Risk1"
"398xx",0.260869565217391,"Risk3"
"400xx",0.100671140939597,"Risk1"
"401xx",0.177777777777778,"Risk2"
"402xx",0.182608695652174,"Risk2"
"403xx",0.240963855421687,"Risk3"
"404xx",0.189473684210526,"Risk2"
"405xx",0.148648648648649,"Risk1"
"406xx",0.233333333333333,"Risk3"
"407xx",0.189189189189189,"Risk2"
"408xx",0.222222222222222,"Risk3"
"409xx",0.117647058823529,"Risk1"
"410xx",0.2,"Risk3"
"411xx",0.234375,"Risk3"
"412xx",0.227272727272727,"Risk3"
"413xx",0.277777777777778,"Risk3"
"414xx",0.2,"Risk3"
"415xx",0.37037037037037,"Risk3"
"416xx",0.166666666666667,"Risk2"
"417xx",0.0625,"Risk1"
"418xx",0.0909090909090909,"Risk1"
"420xx",0.227272727272727,"Risk3"
"421xx",0.207920792079208,"Risk3"
"422xx",0.148148148148148,"Risk1"
"423xx",0.1625,"Risk2"
"424xx",0.339622641509434,"Risk3"
"425xx",0.214285714285714,"Risk3"
"426xx",0.25,"Risk3"
"427xx",0.1375,"Risk1"
"429xx",0,"Risk1"
"430xx",0.156123822341857,"Risk1"
"431xx",0.232686980609418,"Risk3"
"432xx",0.154981549815498,"Risk1"
"433xx",0.17037037037037,"Risk2"
"434xx",0.211382113821138,"Risk3"
"435xx",0.142857142857143,"Risk1"
"436xx",0.248648648648649,"Risk3"
"437xx",0.140495867768595,"Risk1"
"438xx",0.217391304347826,"Risk3"
"439xx",0.211111111111111,"Risk3"
"440xx",0.169544740973313,"Risk2"
"441xx",0.185185185185185,"Risk2"
"442xx",0.146171693735499,"Risk1"
"443xx",0.188311688311688,"Risk2"
"444xx",0.154228855721393,"Risk1"
"445xx",0.245283018867925,"Risk3"
"446xx",0.174496644295302,"Risk2"
"447xx",0.190082644628099,"Risk2"
"448xx",0.210970464135021,"Risk3"
"449xx",0.180555555555556,"Risk2"
"450xx",0.190944881889764,"Risk2"
