vars_leakage
last_pymnt_d
last_pymnt_amnt
total_pymnt
total_pymnt_inv
total_rec_prncp
total_rec_int
total_rec_late_fee
recoveries
collection_recovery_fee
out_prncp
out_prncp_inv
hardship_payoff_balance_amount
hardship_last_payment_amount
hardship_amount
hardship_dpd
hardship_loan_status
num_tl_120dpd_2m
num_tl_30dpd
num_tl_90g_dpd_24m
collections_12_mths_ex_med
chargeoff_within_12_mths
sec_app_chargeoff_within_12_mths
mths_since_last_delinq
mths_since_last_major_derog
mths_since_last_record
mths_since_recent_bc_dlq
mths_since_recent_revol_delinq
num_accts_ever_120_pd
tot_coll_amt
acc_now_delinq
delinq_amnt
hardship_flag
hardship_type
hardship_reason
hardship_status
hardship_start_date
hardship_end_date
payment_plan_start_date
hardship_length
orig_projected_additional_accrued_interest
debt_settlement_flag
debt_settlement_flag_date
settlement_status
settlement_date
settlement_amount
settlement_percentage
settlement_term
pymnt_plan
next_pymnt_d
last_credit_pull_d
url
desc
